service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1111100-1,1,1,1,1,1,0,0,20250731,20250813
1111111-1,1,1,1,1,1,1,1,20250731,20250813
1111100-2,1,1,1,1,1,0,0,20250731,20250813
0000010-1,0,0,0,0,0,1,0,20250802,20250809
0000011-1,0,0,0,0,0,1,1,20250802,20250810
0000010-2,0,0,0,0,0,1,0,20250802,20250802
1111111-2,1,1,1,1,1,1,1,20250802,20250810
1111111-3,1,1,1,1,1,1,1,20250802,20250808
0000011-2,0,0,0,0,0,1,1,20250802,20250803
0000001-1,0,0,0,0,0,0,1,20250803,20250810
0000001-2,0,0,0,0,0,0,1,20250803,20250803
1111100-3,1,1,1,1,1,0,0,20250804,20250808
0000011-3,0,0,0,0,0,1,1,20250809,20250810
1111100-4,1,1,1,1,1,0,0,20250812,20250812
1111110-1,1,1,1,1,1,1,0,20250731,20250813
1111101-1,1,1,1,1,1,0,1,20250731,20250813
1111100-5,1,1,1,1,1,0,0,20250731,20250813
1111111-4,1,1,1,1,1,1,1,20250731,20250813
1111111-5,1,1,1,1,1,1,1,20250731,20250813
1111100-6,1,1,1,1,1,0,0,20250731,20250801
1111111-6,1,1,1,1,1,1,1,20250731,20250813
1111100-7,1,1,1,1,1,0,0,20250731,20250808
1111100-8,1,1,1,1,1,0,0,20250731,20250813
1111111-7,1,1,1,1,1,1,1,20250731,20250813
1111111-8,1,1,1,1,1,1,1,20250731,20250813
1111111-9,1,1,1,1,1,1,1,20250802,20250813
0000011-4,0,0,0,0,0,1,1,20250802,20250810
0000011-5,0,0,0,0,0,1,1,20250802,20250810
1111111-10,1,1,1,1,1,1,1,20250802,20250813
1111111-11,1,1,1,1,1,1,1,20250802,20250812
1111101-2,1,1,1,1,1,0,1,20250803,20250810
0000011-6,0,0,0,0,0,1,1,20250803,20250810
1111100-9,1,1,1,1,1,0,0,20250804,20250813
1111100-10,1,1,1,1,1,0,0,20250805,20250805
0000010-3,0,0,0,0,0,1,0,20250809,20250809
0000001-3,0,0,0,0,0,0,1,20250810,20250810
1111100-11,1,1,1,1,1,0,0,20250811,20250813
1111100-12,1,1,1,1,1,0,0,20250731,20250804
1111111-12,1,1,1,1,1,1,1,20250731,20250804
1111111-13,1,1,1,1,1,1,1,20250731,20250810
1111111-14,1,1,1,1,1,1,1,20250731,20250808
1111111-15,1,1,1,1,1,1,1,20250731,20250803
1111100-13,1,1,1,1,1,0,0,20250731,20250813
1111111-16,1,1,1,1,1,1,1,20250802,20250813
1111100-14,1,1,1,1,1,0,0,20250731,20250813
1111111-17,1,1,1,1,1,1,1,20250804,20250813
1111100-15,1,1,1,1,1,0,0,20250804,20250813
1111111-18,1,1,1,1,1,1,1,20250802,20250813
0000011-7,0,0,0,0,0,1,1,20250802,20250810
0000010-4,0,0,0,0,0,1,0,20250802,20250809
1111111-19,1,1,1,1,1,1,1,20250809,20250813
0000001-4,0,0,0,0,0,0,1,20250803,20250810
1111111-20,1,1,1,1,1,1,1,20250731,20250813
1111100-16,1,1,1,1,1,0,0,20250731,20250731
1111100-17,1,1,1,1,1,0,0,20250731,20250813
1111100-18,1,1,1,1,1,0,0,20250731,20250813
1111100-19,1,1,1,1,1,0,0,20250801,20250813
1111100-20,1,1,1,1,1,0,0,20250731,20250813
1111100-21,1,1,1,1,1,0,0,20250731,20250805
1111111-21,1,1,1,1,1,1,1,20250731,20250805
1111100-22,1,1,1,1,1,0,0,20250731,20250813
1111100-23,1,1,1,1,1,0,0,20250731,20250813
1111001-1,1,1,1,1,0,0,1,20250731,20250813
1111100-24,1,1,1,1,1,0,0,20250731,20250813
1111100-25,1,1,1,1,1,0,0,20250731,20250813
1111100-26,1,1,1,1,1,0,0,20250731,20250813
1111100-27,1,1,1,1,1,0,0,20250731,20250813
1111111-22,1,1,1,1,1,1,1,20250731,20250813
1111100-28,1,1,1,1,1,0,0,20250731,20250813
1111100-29,1,1,1,1,1,0,0,20250731,20250813
1111100-30,1,1,1,1,1,0,0,20250731,20250813
1111100-31,1,1,1,1,1,0,0,20250731,20250813
1111111-23,1,1,1,1,1,1,1,20250731,20250813
1111000-1,1,1,1,1,0,0,0,20250731,20250813
1111111-24,1,1,1,1,1,1,1,20250731,20250810
1111100-32,1,1,1,1,1,0,0,20250801,20250813
1111111-25,1,1,1,1,1,1,1,20250801,20250813
0000110-1,0,0,0,0,1,1,0,20250801,20250809
1111100-33,1,1,1,1,1,0,0,20250801,20250801
1111110-2,1,1,1,1,1,1,0,20250731,20250813
