pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,traversal_time,signposted_as,reversed_signposted_as,bikes_prohibited
U135K1P4,U135K1B4,U135K1B5,1,1,,,,0
U135K2P1,U135K2B1,U135K2B2,1,1,,,,0
U135P1,U135N3,U135K2B2,1,1,,E1 - E5 ul. Poděbradská,,0
U135P2,U135N3,U135N1,4,1,75,,,0
U135P3,U135N2,U135K2B1,1,1,,,"Výtah, Lift",0
U135P4,U135K1B5,U135N2,1,1,,"Výtah, Lift",,0
U135P5,U135N4,U135N2,5,1,150,,,1
U135P6,U135N10,U135N5,1,1,,,,0
U135P8,U135K1B4,U135N3,1,1,,,E1 - E5 ul. Poděbradská,0
U135P19,U135N5,U135S1E5,1,1,,E5,,0
U135P10,U135N9,U135S1E11,2,1,,E1 Schody/Stairs,,0
U135P11,U135N9,U135S1E1,1,1,,E1 Rampa/Ramp,,0
U135P12,U135N9,U135N6,1,1,,"E2, E3, E4 sídliště Hloubetín",,0
U135P13,U135S1E2,U135N6,2,1,,,E2 TRAM U Elektry,0
U135P14,U135N6,U135N7,1,1,,,,0
U135P15,U135S1E3,U135N7,2,1,,,E3 TRAM sídliště Hloubětín,0
U135P16,U135N7,U135N8,1,1,,,,0
U135P17,U135N8,U135S1E4,1,1,,E4,,0
U135P18,U135S1E41,U135N8,2,1,,,E4,0
U135P9,U135N5,U135N9,1,1,,E1 - E4,,0
U135P20,U135N1,U135N4,1,1,,,,0
U135P21,U135N10,U135N4,6,0,,,,0
U135P22,U135N4,U135N10,7,0,,,,0
U539K1P1,U539K1B1,U539K1B4,1,1,,,,0
U539K2P4,U539K2B2,U539K2B5,1,1,,,,0
U75P1,U75K2B4,U75N3,1,1,,E1 ul. Kolbenova,,0
U75P2,U75K1B2,U75N3,1,1,,E1 ul. Kolbenova,,0
U75P4,U75N5,U75N2,5,1,90,,,1
U75P5,U75N4,U75N3,4,1,80,,,0
U75P6,U75N1,U75S1E1,1,1,,,,0
U75P7,U75N2,U75N4,1,1,,,,0
U75P8,U75N5,U75K2B5,1,1,,,Výtah/Lift,0
U75P9,U75N1,U75N4,6,0,,,,0
U75P10,U75N4,U75N1,7,0,,,,0
U75K1P1,U75K1B1,U75K1B2,1,1,,,,0
U75K2P4,U75K2B4,U75K2B5,1,1,,,,0
U75P11,U75N5,U75K1B1,1,1,,,Výtah/Lift,0
U474P3,U474N13,U474N5,4,1,80,,,0
U474P4,U474K1B4,U474N13,1,1,,"E1 - E2 náměstí OSN, NC Fénix",,0
U474P5,U474K2B2,U474N13,1,1,,"E1 - E2 náměstí OSN, NC Fénix",,0
U474P6,U474S1E21,U474N12,5,1,50,,,1
U474P7,U474S1E11,U474N2,5,1,50,,,1
U474P8,U474N2,U474N3,1,1,,,E1 náměstí OSN,0
U474P9,U474N3,U474N12,1,1,,E2 ulice Freyova,,0
U474P10,U474N3,U474N14,1,1,,,,0
U474P12,U474N6,U474N7,5,1,80,,,1
U474P13,U474N5,U474N7,1,1,,,,0
U474P14,U474N8,U474N9,2,1,,,,0
U474P15,U474N8,U474N10,1,1,,,,0
U474P16,U474N11,U474N10,4,1,70,,,0
U474P17,U474S1E3,U474N15,1,1,,,,0
U474P18,U474K1B3,U474N9,1,1,,"E3 ulice Sokolovská, TRAM",,0
U474P19,U474K2B3,U474N9,1,1,,"E3 ulice Sokolovská, TRAM",,0
U474P22,U474S1E22,U474N12,1,1,,,,0
U474P23,U474N2,U474S1E1,2,1,,,,0
U474P24,U474S1E2,U474N12,2,1,,,,0
U474P25,U474N12,U474S1E2,4,0,25,,,0
U474P26,U474N2,U474S1E1,4,0,25,,,0
U474P1,U474K1B5,U474N6,1,1,,,,0
U474P27,U474N14,U474N5,6,0,,,,0
U474P28,U474N5,U474N14,7,0,,,,0
U474P29,U474N11,U474N15,7,0,,,,0
U474P30,U474N15,U474N11,6,0,,,,0
U474K1P3,U474K1B3,U474K1B4,1,1,,,,0
U474K1P2,U474K1B2,U474K1B3,1,1,,,,0
U474K1P4,U474K1B4,U474K1B5,1,1,,,,0
U474K2P2,U474K2B2,U474K2B3,1,1,,,,0
U474K2P3,U474K2B3,U474K2B4,1,1,,,,0
U474K2P1,U474K2B1,U474K2B2,1,1,,,,0
U510P2,U510K1B4,U510N1,1,1,,"E1 - E3 ul. Drahobejlova, Sokolovská",,0
U510P3,U510K2B2,U510N1,1,1,,"E1 - E3 ul. Drahobejlova, Sokolovská",,0
U510P4,U510S1E3,U510N2,1,1,,,E3 ul. Drahobejlova,0
U510P5,U510S1E2,U510N2,1,1,,,E2 ul. Sokolovská,0
U510P7,U510N1,U510N3,4,1,90,,,0
U510P8,U510N2,U510N3,6,0,,,,0
U510P9,U510N3,U510N2,7,0,,,,0
U529P1,U529N2,U529N7,1,1,,E6 Libeňský most,,0
U529P2,U529N2,U529N8,1,1,,E5 ulice Zenklova,,0
U529P3,U529N1,U529N11,1,1,,E7 Výtah/Lift,,0
U529P4,U529N1,U529N10,1,1,,E9 ulice Na Žertvách,,0
U529P5,U529N1,U529N9,1,1,,E8 ulice Sokolovská,,0
U529P6,U529N4,U529N3,4,1,30,,,0
U529P7,U529N4,U529N3,5,1,120,,,0
U529P9,U529K1B1,U529N4,1,1,,"E5 - E9, ulice Zenklova",,0
U529P10,U529K2B5,U529N4,1,1,,"E5 - E9, ulice Zenklova",,0
U529P13,U529K1B5,U529N5,1,1,,"E1 - E4, BUS Terminal",,0
U529P14,U529K2B1,U529N5,1,1,,"E1 - E4, BUS Terminal",,0
U529P15,U529N5,U529N15,4,1,30,,,0
U529P16,U529S1E2,U529N12,2,1,,,,0
U529P17,U529S1E4,U529N12,2,1,,,,0
U529P18,U529N12,U529N13,1,1,,Metro B,E2 - E4 BUS Terminal,0
U529P19,U529N6,U529N13,1,1,,Metro B,E1 ulice Na Žertvách,0
U529P20,U529N6,U529S1E1,4,0,30,,,0
U529P21,U529S1E5,U529N8,2,1,,,,0
U529P22,U529S1E6,U529N7,2,1,,,,0
U529P23,U529S1E7,U529N11,5,1,60,,,0
U529P24,U529S1E8,U529N9,2,1,,,,0
U529P25,U529N10,U529S1E9,4,0,30,,,0
U529P26,U529N9,U529S1E8,4,0,30,,,0
U529P27,U529S1E3,U529N12,1,1,,Metro B,"E3, ulice Na Hrázi",0
U529P28,U529S1E1,U529N6,2,1,,,,0
U529P29,U529N12,U529S1E2,4,0,30,,,0
U529P30,U529S1E9,U529N10,2,1,,,,0
U529P31,U529N16,U529N1,1,1,,E9 ulice Na Žertvách,,0
U529P32,U529N16,U529N2,1,1,,E5 - E6 ulice Zenklova,,0
U529P33,U529N14,U529N13,1,1,,Metro B,E1 ulice Na Žertvách,0
U529P34,U529N14,U529N15,6,0,,,,0
U529P35,U529N15,U529N14,7,0,,,,0
U529P36,U529N16,U529N3,6,0,,,,0
U529P37,U529N3,U529N16,7,0,,,,0
U529K1P1,U529K1B1,U529K1B5,1,1,,,,0
U529K2P4,U529K2B1,U529K2B5,1,1,,,,0
U655P2,U655K1B4,U655N1,1,1,,"E1 ul. Sokolovská, sídliště Invalidovna",,0
U655P3,U655K2B2,U655N1,1,1,,"E1 ul. Sokolovská, sídliště Invalidovna",,0
U655P4,U655S1E1,U655N3,1,1,,,,0
U655P5,U655N1,U655N2,4,1,70,,,0
U655P7,U655N2,U655N3,7,0,,,,0
U1072P3,U1072S1E202,U1072N2,4,0,25,,,0
U1072P4,U1072S1E202,U1072N2,2,1,,,,0
U1072P5,U1072N2,U1072N13,1,1,,,"E2 ul. Národní, ul. Perlová",0
U1072P7,U1072N5,U1072S1E203,4,0,25,,,0
U1072P10,U1072N5,U1072S1E203,2,1,,,,0
U1072P11,U1072N5,U1072N13,1,1,,,"E3 ul. Národní, ul. Na Perštýně",0
U1072P14,U1072N12,U1072N13,1,1,,,"E4 Jungmannovo nám., Václavské nám.",0
U1072P15,U1072N12,U1072S1E204,2,1,,,,0
U1072P16,U1072N12,U1072S1E204,4,0,30,,,0
U1072P19,U1072N14,U1072N11,1,1,,,,0
U1072P20,U1072N15,U1072N16,4,1,50,,,0
U1072P21,U1072N13,U1072N14,4,1,25,,,0
U1072P22,U1072N37,U1072S1E102,4,0,25,,,0
U1072P23,U1072N37,U1072S1E102,2,1,,,,0
U1072P26,U1072N42,U1072S1E103,4,0,25,,,0
U1072P28,U1072N42,U1072S1E103,2,1,,,,0
U1072P30,U1072S1E104,U1072N46,4,0,34,,,0
U1072P32,U1072S1E104,U1072N46,2,1,,,,0
U1072P34,U1072N35,U1072S1E105,4,0,25,,,0
U1072P35,U1072N35,U1072S1E105,2,1,,,,0
U1072P38,U1072N30,U1072S1E106,2,1,,,,0
U1072P40,U1072N30,U1072S1E106,4,0,25,,,0
U1072P42,U1072S1E107,U1072N26,2,1,,,,0
U1072P44,U1072N26,U1072S1E107,4,0,25,,,0
U1072P46,U1072N23,U1072S1E108,2,1,,,,0
U1072P48,U1072N22,U1072S1E1081,4,0,24,,,0
U1072P50,U1072N22,U1072N24,1,1,,,"E8 ul. Provaznická, ul. Na Můstku",0
U1072P51,U1072N23,U1072N24,1,1,,,,0
U1072P52,U1072N24,U1072N26,1,1,,"E7 ul. Na Příkopě, ul. Havířská",,0
U1072P54,U1072N35,U1072N51,1,1,,,E5 Václavské náměstí,0
U1072P57,U1072N30,U1072N51,1,1,,,E6 ul. Panská,0
U1072P58,U1072N24,U1072N51,1,1,,E5 - E6 Václavské náměstí,,0
U1072P59,U1072N37,U1072N21,1,1,,,"E2 ul. 28. října, Jungmannovo nám.",0
